goalie	shots	xgoals	goals	teams
LOUIS DOMINGUE	87	7.040	6	ARI
NATHAN LAWSON	166	15.639	11	NYI
MARC DENIS	172	14.392	21	MTL,T.B
CARTER HUTTON	928	75.792	86	NSH,CHI
BRIAN FOSTER	1	0.124	0	FLA
EVGENI NABOKOV	4503	369.253	381	T.B,NYI,S.J
CHRIS MASON	3195	272.015	279	NSH,WPG,ATL,STL
JACOB MARKSTROM	704	60.842	68	VAN,FLA
MAREK SCHWARZ	17	1.573	6	STL
JOSH HARDING	2238	182.761	188	MIN
CAM TALBOT	859	69.528	56	NYR
JEFF ZATKOFF	348	29.342	27	PIT
ANDREW RAYCROFT	1508	126.035	155	DAL,VAN,COL,TOR
ANTTI RAANTA	485	43.618	55	CHI
PHILIPP GRUBAUER	287	24.420	19	WSH
ERIK ERSBERG	725	55.640	55	L.A
CURTIS SANFORD	968	75.033	78	CBJ,VAN
SCOTT CLEMMENSEN	2440	199.437	218	N.J,FLA,TOR
JONI ORTIO	183	17.940	19	CGY
JASON LABARBERA	2404	197.472	192	ANA,EDM,PHX,L.A,VAN
DUSTIN TOKARSKI	506	43.035	38	MTL,T.B
CONNOR KNAPP	6	0.777	1	BUF
JAMES HOWARD	254	20.804	24	DET
DANIEL TAYLOR	36	2.869	4	CGY
SEMYON VARLAMOV	3758	319.423	299	COL,WSH
ANTON KHUDOBIN	1280	107.440	104	CAR,BOS,MIN
MARTIN GERBER	1165	96.565	87	EDM,OTT,TOR
CRAIG ANDERSON	5531	457.601	391	OTT,COL,FLA
YANN DANIS	501	42.691	50	EDM,N.J,NYI
PETR MRAZEK	607	46.962	43	DET
TROY GROSENICK	57	4.570	3	S.J
TYLER WEIMAN	10	1.165	0	COL
KARI LEHTONEN	5636	461.475	421	DAL,ATL
ONDREJ PAVELEC	4779	401.322	403	WPG,ATL
PASCAL LECLAIRE	1365	107.448	128	OTT,CBJ
MICHAEL HUTCHINSON	518	42.914	44	WPG
ALLEN YORK	105	7.709	8	CBJ
CHRIS BECKFORD-TSEU	9	0.669	1	STL
MARTIN JONES	520	45.941	40	L.A
JOCELYN THIBAULT	145	11.639	14	BUF
MIKE MURPHY	9	0.814	0	CAR
ROBERTO LUONGO	5759	463.092	460	FLA,VAN
LELAND IRVING	292	22.403	27	CGY
MATHIEU GARON	2745	226.082	254	T.B,CBJ,EDM,PIT
PEKKA RINNE	4505	370.966	356	NSH
J-SEBASTIEN AUBIN	156	12.936	13	L.A
JEAN-SEBASTIEN GIGUERE	3342	286.040	265	COL,TOR,ANA
VESA TOSKALA	2063	174.821	191	TOR,CGY
ALEXANDER SALAK	39	3.112	3	FLA
JEFF DESLAURIERS	757	64.602	69	ANA,EDM
ALEX STALOCK	690	58.879	61	S.J
ANDREI VASILEVSKIY	190	17.471	18	T.B
BRIAN BOUCHER	1631	131.886	142	PHI,CAR,S.J
ANDREW HAMMOND	373	30.163	11	OTT
TYLER BUNZ	12	1.148	3	EDM
JEREMY DUCHESNE	4	0.320	1	PHI
JIMMY HOWARD	3878	327.910	289	DET
RICK DIPIETRO	1525	119.708	140	NYI
CRISTOBAL HUET	1835	155.281	165	CHI,MTL,WSH
HENRIK KARLSSON	431	32.811	30	CGY
JOHAN BACKLUND	24	1.829	2	PHI
DREW MACINTYRE	77	6.836	6	TOR,BUF,VAN
VIKTOR FASTH	926	80.357	90	EDM,ANA
MICHAEL LEIGHTON	944	80.085	90	PHI,CAR
PATRICK LALIME	1149	91.118	112	BUF,CHI
JOSH TORDJMAN	61	4.403	7	PHX
JOHN GIBSON	395	34.042	31	ANA
CAM WARD	6167	520.264	486	CAR
MAREK MAZANEC	292	24.218	25	NSH
AL MONTOYA	1555	126.142	131	FLA,WPG,NYI,PHX
ROB ZEPP	142	11.523	15	PHI
ROBIN LEHNER	1520	120.278	113	OTT
NIKOLAI KHABIBULIN	2864	247.463	253	CHI,EDM
JOSE THEODORE	3650	308.774	308	FLA,MIN,WSH,COL
CURTIS JOSEPH	368	31.257	46	TOR,CGY
TIMO PIELMEIER	12	1.177	3	ANA
BRENT KRAHN	9	0.801	3	DAL
JOACIM ERIKSSON	31	1.763	3	VAN
HENRIK LUNDQVIST	6513	515.299	472	NYR
ANTERO NIITTYMAKI	1926	158.915	158	S.J,T.B,PHI
TIMOTHY JR. THOMAS	730	55.704	54	BOS
JOHN GRAHAME	309	24.274	35	CAR
STEVE MASON	4470	361.481	394	PHI,CBJ
JONAS GUSTAVSSON	2141	183.672	204	DET,TOR
JONATHAN BERNIER	2341	197.133	163	TOR,L.A
ALEXANDER AULD	460	36.150	37	PHX,BOS
ANDREY MAKAROV	36	3.500	3	BUF
TY CONKLIN	2258	185.554	192	DET,STL,PIT
EMMANUEL LEGACE	683	60.363	59	STL
ILYA BRYZGALOV	3451	286.217	271	ANA,EDM,MIN,PHI,PHX
DARCY KUEMPER	865	68.376	73	MIN
JUSTIN POGGE	82	6.985	11	TOR
TOMAS VOKOUN	4459	368.982	334	PIT,WSH,FLA
CAREY PRICE	5894	476.987	451	MTL
DAN CLOUTIER	107	9.096	14	L.A
RAY EMERY	2342	201.656	216	PHI,CHI,ANA,OTT
BEN BISHOP	2119	176.025	170	T.B,OTT,STL
MATT CLIMIE	73	6.150	6	PHX,DAL
RICHARD BACHMAN	590	49.786	59	EDM,DAL
ANDERS NILSSON	319	27.630	33	NYI
DAN ELLIS	2985	246.372	255	FLA,DAL,CAR,ANA,T.B,NSH
BRAD THIESSEN	28	2.318	7	PIT
RYAN MILLER	6777	550.332	512	VAN,BUF,STL
HANNU TOIVONEN	419	37.136	46	STL
MARTY TURCO	3059	258.934	278	BOS,CHI,DAL
PETER MANNINO	107	8.043	12	ATL,NYI
RETO BERRA	638	55.170	55	COL,CGY
BRIAN ELLIOTT	3410	280.930	287	STL,OTT,COL
