goalie	shots	xgoals	goals	teams
MARK DEKANICH	25	1.670	3	NSH
PASCAL LECLAIRE	379	34.056	31	OTT
CHRIS MASON	835	74.526	85	ATL
JACOB MARKSTROM	14	1.161	1	FLA
ANDREW RAYCROFT	431	36.359	38	DAL
SCOTT CLEMMENSEN	809	61.085	64	FLA
JASON LABARBERA	517	42.933	39	PHX
CEDRICK DESJARDINS	58	4.006	1	T.B
SEMYON VARLAMOV	741	58.456	50	WSH
ANTON KHUDOBIN	83	6.659	5	MIN
MARTIN GERBER	91	8.472	4	EDM
CRAIG ANDERSON	1503	121.129	117	COL,OTT
KARI LEHTONEN	1975	156.999	150	DAL
CORY SCHNEIDER	692	64.559	45	VAN
CHRIS OSGOOD	292	23.940	26	DET
ROBERTO LUONGO	1696	143.497	116	VAN
MATHIEU GARON	868	71.282	77	CBJ
NATHAN LAWSON	235	22.016	21	NYI
PEKKA RINNE	1836	156.725	116	NSH
ALEX STALOCK	9	1.031	0	S.J
BRIAN BOUCHER	870	71.517	68	PHI
JIMMY HOWARD	1751	149.458	152	DET
RICK DIPIETRO	705	58.336	73	NYI
HENRIK KARLSSON	377	30.342	30	CGY
MICHAEL LEIGHTON	36	2.899	3	PHI
CAM WARD	2261	195.836	162	CAR
AL MONTOYA	568	52.026	38	NYI
ROBIN LEHNER	175	13.767	18	OTT
NIKOLAI KHABIBULIN	1349	121.163	146	EDM
TIMO PIELMEIER	12	1.177	3	ANA
HENRIK LUNDQVIST	1923	170.480	140	NYR
ANTERO NIITTYMAKI	591	49.669	53	S.J
STEVE MASON	1512	127.443	134	CBJ
JONAS GUSTAVSSON	591	50.362	62	TOR
JONATHAN BERNIER	636	51.047	52	L.A
MATT CLIMIE	15	1.306	1	PHX
TY CONKLIN	564	47.938	63	STL
ILYA BRYZGALOV	2064	169.726	148	PHX
JOHAN HEDBERG	754	62.664	59	N.J
CAREY PRICE	2085	168.863	144	MTL
RAY EMERY	259	21.328	17	ANA
BEN BISHOP	167	14.450	17	STL
RICHARD BACHMAN	4	0.485	0	DAL
DAN ELLIS	1039	83.160	96	T.B,ANA
RYAN MILLER	1901	145.688	137	BUF
MARTY TURCO	779	67.123	77	CHI
PETER MANNINO	36	2.421	4	ATL
PATRICK LALIME	156	12.668	13	BUF
BRIAN ELLIOTT	1501	128.733	147	OTT,COL
JOSE THEODORE	938	76.239	75	MIN
MARC-ANDRE FLEURY	1673	139.608	123	PIT
THOMAS MCCOLLUM	8	0.701	3	DET
TUUKKA RASK	829	67.038	67	BOS
CHAD JOHNSON	11	1.135	2	NYR
DEVAN DUBNYK	1070	93.323	86	EDM
JONATHAN QUICK	1572	125.214	113	L.A
PETER BUDAJ	1204	105.026	116	COL
SERGEI BOBROVSKY	1460	126.905	108	PHI
JEAN-SEBASTIEN GIGUERE	742	61.608	71	TOR
JAMES REIMER	1078	81.992	79	TOR
MIKE MCKENNA	56	5.097	6	N.J
MICHAL NEUVIRTH	1220	100.208	98	WSH
JHONAS ENROTH	366	28.300	28	BUF
JONAS HILLER	1452	129.971	106	ANA
MIKE BRODEUR	37	3.505	6	OTT
DWAYNE ROLOSON	1513	116.631	119	NYI,T.B
ANTTI NIEMI	1676	140.454	126	S.J
TOMAS VOKOUN	1698	136.762	126	FLA
MARTIN BIRON	416	36.250	31	NYR
DAVID LENEVEU	12	0.949	2	CBJ
COREY CRAWFORD	1518	130.298	115	CHI
MIKKO KOSKINEN	113	9.706	12	NYI
JOEY MACDONALD	356	28.858	25	DET
MARTIN BRODEUR	1272	105.307	116	N.J
KEVIN POULIN	260	22.465	19	NYI
ALEX AULD	376	33.252	28	MTL
TIM THOMAS	1738	138.179	97	BOS
MIKE SMITH	552	39.574	44	T.B
BRENT JOHNSON	583	47.564	42	PIT
BRADEN HOLTBY	316	24.304	19	WSH
NIKLAS BACKSTROM	1530	116.541	111	MIN
ONDREJ PAVELEC	1657	136.949	128	ATL
JAROSLAV HALAK	1481	137.364	125	STL
JUSTIN PETERS	336	31.005	38	CAR
ANDERS LINDBACK	558	48.623	45	NSH
MIIKKA KIPRUSOFF	1872	143.257	159	CGY
CURTIS MCELHINNEY	702	62.837	70	ANA,OTT
