id	name	position	teams	toi	xgoalsfor	xgoalsagainst	fenwickfor	fenwickagainst	ofaceoffs	nfaceoffs	dfaceoffs	attempts	shots	goals	xgoals	shotsx
8460577	Milan Hejduk 	Right Wing	COL	414978	216.378767806	213.561717053	3471	3557	1537	1995	1449	1081	850	105	84.052111255	92.944104569
8477244	Chad Ruhwedel 	Defense	BUF	29929	14.8729566494	18.3467554739	258	340	148	151	131	52	42	0	1.22194420826	1.40941593517
8473962	Teddy Purcell 	Right Wing	EDM,T.B,L.A	439450	227.554398484	220.023985006	4010	3912	1754	2039	1485	1139	836	78	73.4435794158	76.483143542
8471700	Matt Pelech 	Defense,Right Wing	S.J,CGY	6291	3.2296695644	4.04659780581	70	66	34	34	24	11	7	1	0.532402934507	0.310625551268
8471701	Joe Finley 	Defense	NYI,BUF	13577	6.78765323292	9.70692034997	101	150	56	77	64	6	3	0	0.12169424817	0.0822258088738
8471702	Matt Niskanen 	Defense	WSH,PIT,DAL	636920	318.091789336	300.916697452	5790	5261	2513	2938	2168	1208	783	37	35.7372491555	33.1044802852
8471703	Steve Downie 	Right Wing	PIT,COL,PHI,T.B,ARI	331510	173.488444486	168.836431637	3050	2969	1200	1751	1162	702	527	70	49.8110078322	50.2502192194
8471704	Vladimir Mihalik 	Defense	T.B	10185	4.91408059373	6.25902382191	92	111	34	52	33	9	4	0	0.198603749275	0.138798313215
8471705	Brendan Mikkelson 	Defense	T.B,ANA,CGY	106963	57.3162491452	65.6666907128	961	1151	450	572	373	131	87	1	3.9242599532	4.03981876373
8471707	James Neal 	Left Wing	NSH,PIT,DAL	505037	276.360335721	248.81927661	4822	4205	2189	2176	1511	1839	1341	161	133.12674001	136.199267581
8471708	Ryan Stoa 	Center	WSH,COL	29611	20.342669649	19.2181918928	283	313	116	160	102	87	69	2	8.2730542738	8.35726592317
8471709	Marc-Edouard Vlasic 	Defense	S.J	688057	428.197379284	344.606536947	7206	6072	2572	3544	2860	1075	659	29	32.9384249141	30.6337445863
8473562	John McCarthy 	Left Wing	S.J	47518	30.2154801888	26.848391355	505	494	267	278	207	123	99	3	10.0754559031	10.9382979814
8473563	Nicklas Backstrom 	Center	WSH	657370	329.507431494	294.844477694	6107	5260	2581	2785	2057	1506	1057	121	109.030810641	107.551600001
8473560	Korbinian Holzer 	Defense	TOR,ANA	52606	28.5414203862	38.544941335	514	660	241	291	299	65	48	2	1.63394015748	1.78690565377
8468498	Brooks Orpik 	Defense	WSH,PIT	602891	360.360915344	363.568209604	6089	6301	2532	3669	2608	531	337	10	11.6840327727	10.2449454004
8473565	Brian Strait 	Defense	NYI,PIT	121931	81.2459455803	91.2465277985	1253	1381	600	665	576	158	110	4	4.74851962458	5.17308351584
8468496	Marcel Hossa 	Left Wing	NYR,PHX	35032	22.4285939168	17.8102549575	385	304	142	212	110	87	63	1	6.91141070426	6.65847607143
8473568	Andreas Nodl 	Right Wing	CAR,PHI	124367	72.9173060758	78.3783046063	1256	1321	500	752	583	263	186	13	18.4482992636	17.9641596451
8473569	Jan Mursak 	Left Wing	DET	21351	12.0364065059	9.90035260469	224	178	109	104	63	58	42	2	3.20550397038	3.34088787995
8468493	Ron Hainsey 	Defense	CAR,WPG,ATL,CBJ	667814	360.248970983	367.024486258	6126	6250	2666	3315	3003	894	593	22	30.1529058628	29.4457197143
8470144	Frans Nielsen 	Center	NYI	460623	231.653940677	233.315698251	3886	3759	1699	2178	2017	1135	823	78	86.7436862923	88.4705077158
8467436	Jay Leach 	Defense	N.J,MTL,S.J,T.B	53723	29.0078705857	30.9262623936	512	539	242	263	237	43	31	0	1.31693909038	1.41017035209
8470816	Jay Rosehill 	Left Wing	PHI,TOR	39211	15.5462681204	25.6233472675	289	446	156	229	163	62	52	5	4.910783289	5.28953234851
8467439	Jaroslav Spacek 	Defense	MTL,CAR,BUF	363768	189.964912336	178.554437914	3343	3223	1352	1747	1253	559	372	21	17.0273179086	15.6058210954
8469442	Duvie Westcott 	Defense	CBJ	21795	9.80978824571	7.48276314512	160	152	81	69	52	33	22	1	1.32040011603	1.39567174762
8470724	Kyle Quincey 	Defense	DET,COL,L.A	497888	273.04749363	257.321397933	4573	4405	2104	2404	1878	902	611	22	28.1244982248	27.2127678255
8471634	Ryan Shannon 	Right Wing	T.B,OTT,VAN	188813	97.9296537759	85.0095063336	1717	1442	741	856	583	454	337	32	31.5430480158	32.544393166
8471636	Tim Sestito 	Center	N.J,EDM	55219	23.6010133615	25.8625599798	435	480	207	289	196	85	62	0	5.37458247226	5.33926286455
8470729	Tyson Strachan 	Defense	BUF,WSH,FLA,STL	162639	82.1392823625	102.303246095	1477	1779	666	847	696	227	146	1	5.69487025216	5.21292790864
8477289	Anton Belov 	Defense	EDM	55408	30.7656213492	32.18181701	488	552	209	267	235	63	41	1	1.85137266852	1.61847532913
8475758	Devante Smith-Pelly 	Right Wing	ANA,MTL	107961	58.5899159657	67.6736912047	958	1132	460	618	454	265	179	13	20.1278971145	17.9876384828
8469534	Aaron Johnson 	Defense	BOS,CBJ,CGY,EDM,CHI,NYI	147639	81.419575559	88.2762553282	1407	1460	548	745	602	198	131	8	6.21455958672	6.45545947365
8467502	Ales Kotalik 	Right Wing	CGY,NYR,BUF,EDM	221535	98.3371296441	95.4317532452	1811	1770	830	993	709	780	582	46	42.1606284184	43.6178785469
8469531	Jay Harrison 	Defense	CAR,WPG,TOR	337606	210.614921695	239.488026423	3479	3737	1544	1676	1494	586	389	21	16.9552927203	16.9638323914
8470920	David Clarkson 	Right Wing	TOR,N.J,CBJ	458284	224.822650754	216.03707489	3881	3914	1605	2242	1855	1539	1145	96	120.770672351	122.251628516
8468001	Derek MacKenzie 	Center	FLA,CBJ	198353	97.6591598587	107.676510737	1799	1912	913	1013	911	431	308	27	26.4836784983	25.9836514937
8469844	Josh Gratton 	Left Wing	PHI,PHX	7677	3.10630312376	4.22858945187	56	76	33	30	15	19	13	1	0.983916070312	0.861722698435
8474008	Paul Carey 	Center	COL	9360	4.03225426096	6.39621476457	78	94	58	45	30	19	11	0	1.12869709358	1.01646505296
8474009	Nick Bonino 	Center	VAN,ANA,PIT	218330	123.70971701	127.772762435	1994	2065	940	968	926	542	399	45	46.0136933737	46.3936998053
8474000	Steven Kampfer 	Defense	BOS,MIN,FLA	84170	48.1849274486	44.5345397536	863	847	335	424	353	141	92	9	4.55696471594	4.30824479554
8471521	Brad Staubitz 	Defense,Right Wing	ANA,MIN,MTL,S.J	88086	33.4468911123	50.8344921106	644	922	292	473	323	145	101	9	9.1855921885	8.91790970229
8474002	Colby Cohen 	Defense	COL	2884	1.82525061816	3.32314448897	31	41	8	10	14	2	1	0	0.137519943528	0.0206328127533
8474005	Alex Grant 	Defense	ANA	1460	1.30450361781	1.36872051004	22	19	16	7	6	3	2	2	0.119472963735	0.113348633051
8474500	Derek Whitmore 	Left Wing	BUF	1489	1.06382254697	0.353083243594	16	8	10	10	6	3	2	0	0.172699584626	0.211301997304
8475193	Tomas Tatar 	Center	DET	160109	89.5147623187	68.2235337002	1527	1176	771	681	537	527	371	48	39.9193593543	40.3052782929
8474739	Tommy Wingels 	Center	S.J	199016	126.751412672	115.405837797	2098	1964	874	1019	865	585	423	32	46.673429843	46.2931893319
