team	score	pp	pk	pptime	pktime	adjxdiff	xdiff	pos	neg	attemptsfor	attemptsagainst	shotsfor	shotsagainst
N.J	0.526	58.809	47.326	30326	31534	0.537	0.534	199.871	174.638	2569	2298	1901	1720
MIN	0.460	47.262	49.541	31589	29805	0.470	0.468	157.168	178.758	2206	2518	1567	1824
TOR	0.488	53.998	55.646	31662	28760	0.484	0.489	192.367	200.900	2647	2568	1847	1750
CAR	0.507	56.886	50.819	36333	29025	0.513	0.512	210.212	200.177	2696	2441	1910	1715
ATL	0.464	47.061	58.390	34654	34430	0.459	0.459	176.742	208.135	2193	2545	1590	1897
BOS	0.500	47.807	48.504	30018	29985	0.503	0.499	177.582	178.419	2427	2387	1761	1786
DET	0.534	65.342	44.738	33015	31338	0.550	0.552	205.258	166.620	2757	2138	2046	1565
NYI	0.451	48.733	59.555	31077	34561	0.449	0.451	181.417	220.882	2269	2740	1686	1941
FLA	0.467	46.964	57.101	31202	30395	0.467	0.463	184.131	213.562	2407	2868	1756	2113
L.A	0.519	54.370	57.528	34846	36470	0.508	0.509	186.160	179.810	2386	2294	1624	1613
COL	0.505	52.840	45.692	31203	30675	0.510	0.513	189.534	179.705	2310	2476	1703	1721
NSH	0.476	44.610	41.518	31478	33020	0.487	0.486	177.211	187.662	2349	2480	1684	1786
DAL	0.484	51.372	53.238	35077	32781	0.482	0.486	174.537	184.724	2312	2304	1604	1644
CGY	0.537	58.900	57.152	35798	34582	0.525	0.528	204.432	182.614	2612	2254	1865	1625
NYR	0.518	56.304	52.887	33700	32323	0.517	0.518	226.745	211.336	2609	2391	1859	1716
WSH	0.539	55.224	57.570	30147	36341	0.524	0.524	202.417	183.521	2721	2251	1948	1640
PIT	0.510	52.440	53.386	34799	34073	0.506	0.506	189.060	184.897	2311	2375	1659	1719
VAN	0.495	59.059	53.803	35017	35101	0.505	0.503	186.192	183.728	2155	2293	1546	1625
STL	0.496	52.298	53.031	33849	35205	0.495	0.496	179.000	181.640	2251	2310	1584	1616
CHI	0.518	50.728	53.435	34911	31675	0.510	0.509	190.257	183.418	2597	2116	1951	1626
T.B	0.499	52.288	56.434	33134	38243	0.494	0.493	174.367	178.983	2204	2424	1624	1788
S.J	0.556	60.367	44.710	33849	29101	0.562	0.561	209.270	163.734	2612	2140	1905	1560
MTL	0.474	60.789	54.577	35388	34466	0.489	0.489	194.311	203.037	2290	2532	1672	1842
PHI	0.480	49.421	64.087	29370	38687	0.467	0.467	181.811	207.376	2352	2535	1715	1832
ANA	0.518	64.868	69.560	29490	37798	0.508	0.507	209.968	204.544	2365	2335	1665	1678
CBJ	0.534	51.350	50.760	31645	33377	0.524	0.525	191.819	173.553	2331	2103	1721	1540
BUF	0.522	51.761	52.118	33834	32112	0.515	0.515	187.462	176.625	2401	2453	1793	1782
EDM	0.487	43.778	59.231	34724	32873	0.470	0.470	173.566	196.023	2324	2592	1659	1873
PHX	0.454	49.707	45.800	34521	26456	0.472	0.472	167.280	187.453	2217	2673	1609	1886
OTT	0.487	50.792	47.993	32613	34077	0.494	0.495	173.347	177.019	2261	2307	1645	1676
